Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708690622053,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,18026812,196037048,171844955,958270,8463335424,6710886400,3747033088,0
200,1708690622053,2592,2592,2592,2592,2592,2592,2592,2592,83.97775268554688,86.29499053955078,99.91297149658203,85.055419921875,95.74822235107422,82.97752380371094,85.71583557128906,82.77466583251953,18026854,196038015,171845761,958270,8463335424,6710886400,3747991552,0
193,1708690622260,2592,2592,2592,2592,2592,2592,2592,2592,0.18201446533203125,0,23.659706115722656,6.228271484375,57.003562927246094,0,0,0,18028953,196086304,171889618,958293,8463335424,6710886400,3764170752,0
200,1708690622454,2592,2592,2592,2592,2592,2592,2592,2592,10.328773498535156,4.261482238769531,11.643295288085938,18.32555389404297,40.28342056274414,5.715522766113281,9.432723999023438,4.0205230712890625,18030935,196119064,171918163,958293,8463335424,6710886400,3768541184,0
200,1708690622654,2592,2592,2592,2592,2592,2592,2592,2592,19.91136932373047,3.113494873046875,5.239295959472656,8.857994079589844,2.2051162719726563,1.4747848510742188,2.223236083984375,2.98101806640625,18032688,196131832,171928865,958293,8463335424,6710886400,3782430720,0
200,1708690622855,2592,2592,2592,2592,2592,2592,2592,2592,1.6239089965820313,0,3.3916168212890625,0.19719696044921875,0.091583251953125,0,0.10805511474609375,0,18034282,196134483,171929795,958319,8463335424,6710886400,3776479232,0
200,1708690623055,2592,2592,2592,2592,2592,2592,2592,2592,12.70843505859375,4.856864929199219,44.062339782714844,9.364311218261719,22.901466369628906,8.379264831542969,16.086273193359375,8.655998229980469,18036502,196167196,171959478,958319,8463335424,6710886400,3786760192,0
199,1708690623256,2592,2592,2592,2592,2592,2592,2592,2592,81.14896392822266,72.46367645263672,87.00568389892578,81.06400299072266,83.900390625,75.57230377197266,80.38263702392578,73.78337097167969,18042503,196282022,172067817,958674,8463335424,6710886400,3866906624,0
200,1708690623456,2592,2592,2592,2592,2592,2592,2592,2592,72.08718872070313,60.98887634277344,78.36204528808594,69.13960266113281,74.96541595458984,68.37892150878906,70.18429565429688,65.51063537597656,18047595,196360759,172139318,960662,8463335424,6710886400,3965284352,0
200,1708690623656,2592,2592,2592,2592,2592,2592,2592,2592,40.510948181152344,29.465591430664063,55.36656951904297,27.42022705078125,22.046669006347656,56.434818267822266,32.36126708984375,21.44939422607422,18050939,196400626,172173236,961808,8463335424,6710886400,3979907072,0
200,1708690623857,2592,2592,2592,2592,2592,2592,2592,2592,6.613494873046875,4.374717712402344,12.4951171875,4.35894775390625,6.571815490722656,68.85218048095703,36.28296661376953,4.907318115234375,18053051,196453446,172221236,961956,8463335424,6710886400,3982118912,0
200,1708690624057,2592,2592,2592,2592,2592,2592,2592,2592,56.7888069152832,19.18183135986328,39.258487701416016,43.449398040771484,47.67975616455078,42.39360427856445,40.996334075927734,46.5516471862793,18056361,196532323,172295005,962337,8463335424,6710886400,4008562688,0
200,1708690624258,2592,2592,2592,2592,2592,2592,2592,2592,76.37570190429688,1.9824447631835938,8.679153442382813,4.595451354980469,12.447616577148438,26.454483032226563,8.476310729980469,4.913124084472656,18059268,196588274,172345774,962837,8463335424,6710886400,4002492416,0
199,1708690624459,2592,2592,2592,2592,2592,2592,2592,2592,62.40748977661133,36.69266128540039,65.46939086914063,32.82496643066406,37.90550231933594,21.376441955566406,41.217350006103516,25.625152587890625,18063173,196664000,172415914,963473,8463335424,6710886400,4050403328,0
214,1708690624659,2592,2592,2592,2592,2592,2592,2592,2592,88.18476104736328,26.234634399414063,18.353271484375,36.314517974853516,25.891700744628906,17.647071838378906,17.857086181640625,14.79266357421875,18066485,196734712,172481366,963744,8463335424,6710886400,4078411776,0
200,1708690624873,2592,2592,2592,2592,2592,2592,2592,2592,73.01518249511719,19.066917419433594,31.989974975585938,22.70722198486328,32.05522155761719,18.62964630126953,22.237899780273438,20.235382080078125,18069469,196807873,172549488,963744,8463335424,6710886400,4107038720,0
200,1708690625073,2592,2592,2592,2592,2592,2592,2592,2592,84.38795471191406,8.658012390136719,24.935142517089844,9.239059448242188,11.190673828125,6.683662414550781,16.686721801757813,11.448455810546875,18072180,196869793,172606784,963744,8463335424,6710886400,4113944576,0
200,1708690625274,2592,2592,2592,2592,2592,2592,2592,2592,26.411041259765625,6.439033508300781,32.148841857910156,26.101593017578125,15.301895141601563,5.8444671630859375,34.154052734375,6.223396301269531,18074813,196928206,172660480,963744,8463335424,6710886400,4145922048,0
200,1708690625475,2592,2592,2592,2592,2592,2592,2592,2592,1.5496749877929688,0.358551025390625,0,100,3.0825881958007813,0,1.4947586059570313,2.0092010498046875,18077023,196983579,172711633,963744,8463335424,6710886400,4198883328,0
