Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708992552347,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,75431158,630850403,540339061,3252659,8463335424,7247757312,3397529600,0
199,1708992552347,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,75431241,630851752,540340570,3252659,8463335424,7247757312,3397529600,0
199,1708992552547,2592,2592,2592,2592,2592,2592,2592,2592,11.954238891601563,8.24981689453125,76.11381530761719,6.3866729736328125,12.209831237792969,6.8554840087890625,22.67346954345703,7.1442718505859375,75433480,630900171,540384183,3252691,8463335424,7247757312,3414319104,0
192,1708992552755,2592,2592,2592,2592,2592,2592,2592,2592,21.198043823242188,0,43.26043701171875,4.805961608886719,8.377098083496094,4.303924560546875,17.595619201660156,0,75435921,630939127,540418566,3252691,8463335424,7247757312,3413512192,0
200,1708992552948,2592,2592,2592,2592,2592,2592,2592,2592,13.870742797851563,2.7411117553710938,5.5120391845703125,2.7157516479492188,3.0028533935546875,2.8549575805664063,2.80242919921875,3.4887466430664063,75437631,630945094,540422953,3252728,8463335424,7247757312,3414003712,0
200,1708992553148,2592,2592,2592,2592,2592,2592,2592,2592,0.3842620849609375,0.2757110595703125,3.3314590454101563,0.207672119140625,0.37264251708984375,0.20168304443359375,0.515411376953125,0.1656646728515625,75439313,630946432,540423194,3252728,8463335424,7247757312,3413970944,0
201,1708992553349,2592,2592,2592,2592,2592,2592,2592,2592,15.737884521484375,3.3261489868164063,41.545440673828125,8.63677978515625,21.197311401367188,4.747169494628906,12.587120056152344,5.136390686035156,75441634,630974686,540448420,3252728,8463335424,7247757312,3428900864,0
200,1708992553550,2592,2592,2592,2592,2592,2592,2592,2592,67.11566162109375,64.86766052246094,85.7884292602539,67.64678955078125,72.71385192871094,59.2657356262207,75.05218505859375,67.4615707397461,75446747,631069564,540537980,3252882,8463335424,7247757312,3494735872,0
200,1708992553750,2592,2592,2592,2592,2592,2592,2592,2592,85.91043090820313,76.24017333984375,86.21060180664063,82.7735366821289,88.31298065185547,77.92167663574219,82.6740951538086,78.08751678466797,75452880,631170510,540630878,3254853,8463335424,7247757312,3588038656,0
199,1708992553951,2592,2592,2592,2592,2592,2592,2592,2592,57.18764114379883,20.186187744140625,38.638423919677734,23.45978546142578,29.364288330078125,55.814090728759766,46.072471618652344,51.76087188720703,75456916,631242288,540695775,3256554,8463335424,7247757312,3613032448,0
