Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708991490993,2592,2592,2592,2592,2592,2592,2592,2592,24.59088897705078,7.290519714355469,39.29785919189453,18.388351440429688,16.279502868652344,10.184356689453125,29.626174926757813,4.777030944824219,65040949,554381085,474419325,2899915,8463335424,7247757312,3619692544,0
199,1708991490994,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,65041028,554382183,474420479,2899915,8463335424,7247757312,3619704832,0
192,1708991491201,2592,2592,2592,2592,2592,2592,2592,2592,13.951568603515625,5.339225769042969,69.1502456665039,0.4646453857421875,10.9661865234375,0,4.983955383300781,2.1492843627929688,65043511,554430573,474463959,2899961,8463335424,7247757312,3637837824,0
200,1708991491395,2592,2592,2592,2592,2592,2592,2592,2592,20.450096130371094,16.209678649902344,47.48904800415039,7.504829406738281,32.01896667480469,5.296974182128906,10.064102172851563,7.333381652832031,65045787,554467415,474496911,2899961,8463335424,7247757312,3643219968,0
200,1708991491595,2592,2592,2592,2592,2592,2592,2592,2592,0,0,1.3861541748046875,0,14.058151245117188,0,0,0.14405059814453125,65047560,554474078,474501886,2899993,8463335424,7247757312,3645124608,0
200,1708991491796,2592,2592,2592,2592,2592,2592,2592,2592,0.5495147705078125,0.5232696533203125,2.445709228515625,0.20485687255859375,1.5526885986328125,0.22271728515625,0.9391708374023438,0.1264801025390625,65049260,554475561,474502198,2899993,8463335424,7247757312,3645116416,0
200,1708991491996,2592,2592,2592,2592,2592,2592,2592,2592,11.576828002929688,6.782417297363281,39.52024459838867,7.957481384277344,18.670303344726563,2.4791336059570313,16.93279266357422,2.4364089965820313,65051644,554504292,474527772,2899993,8463335424,7247757312,3664130048,0
200,1708991492197,2592,2592,2592,2592,2592,2592,2592,2592,64.30426025390625,57.54499053955078,78.10476684570313,61.6392822265625,73.61337280273438,58.557106018066406,64.55345153808594,63.1827392578125,65056450,554593037,474611061,2900189,8463335424,7247757312,3731234816,0
200,1708991492397,2592,2592,2592,2592,2592,2592,2592,2592,89.85079956054688,78.29733276367188,88.99827575683594,87.64682006835938,90.40199279785156,84.25819396972656,85.8372573852539,89.90675354003906,65062607,554695634,474706070,2901993,8463335424,7247757312,3818663936,0
200,1708991492597,2592,2592,2592,2592,2592,2592,2592,2592,25.69580078125,75.48078918457031,41.29876708984375,31.732650756835938,39.438663482666016,20.237403869628906,66.64952087402344,34.50498962402344,65066816,554769794,474773329,2903820,8463335424,7247757312,3844743168,0
199,1708991492798,2592,2592,2592,2592,2592,2592,2592,2592,13.110816955566406,3.1259841918945313,16.971351623535156,3.1099929809570313,8.575401306152344,2.81597900390625,100,1.3654632568359375,65069053,554821941,474820788,2903990,8463335424,7247757312,3849687040,0
200,1708991492998,2592,2592,2592,2592,2592,2592,2592,2592,38.11748123168945,17.91179656982422,33.539710998535156,38.24272155761719,41.040340423583984,33.58637237548828,51.06816482543945,37.07185363769531,65072394,554892238,474885541,2904619,8463335424,7247757312,3871608832,0
200,1708991493198,2592,2592,2592,2592,2592,2592,2592,2592,21.856735229492188,30.542068481445313,32.95783233642578,21.0079345703125,18.389503479003906,8.308090209960938,35.73323059082031,21.408935546875,65075858,554950152,474937986,2905465,8463335424,7247757312,3880431616,0
200,1708991493399,2592,2592,2592,2592,2592,2592,2592,2592,37.803646087646484,36.53066635131836,33.12451934814453,48.99639892578125,61.18149185180664,45.35286331176758,32.51710510253906,32.534095764160156,65079979,555024635,475006201,2906440,8463335424,7247757312,3923042304,0
200,1708991493599,2592,2592,2592,2592,2592,2592,2592,2592,48.65171813964844,37.142356872558594,41.700660705566406,35.928260803222656,26.644851684570313,22.001876831054688,34.989219665527344,23.534881591796875,65083768,555095781,475071727,2907334,8463335424,7247757312,3937509376,0
199,1708991493800,2592,2592,2592,2592,2592,2592,2592,2592,13.416465759277344,51.44533920288086,12.68597412109375,35.577392578125,41.89386749267578,10.235145568847656,11.591255187988281,14.596855163574219,65086703,555159601,475130450,2907438,8463335424,7247757312,3969945600,0
200,1708991494000,2592,2592,2592,2592,2592,2592,2592,2592,22.13469696044922,98.01617431640625,23.967262268066406,26.406768798828125,26.05762481689453,23.80340576171875,22.811492919921875,25.917404174804688,65089848,555229907,475195928,2907563,8463335424,7247757312,3978964992,0
200,1708991494201,2592,2592,2592,2592,2592,2592,2592,2592,13.4581298828125,40.27961730957031,19.08507537841797,12.852272033691406,52.538002014160156,8.491790771484375,24.071640014648438,9.662437438964844,65092832,555290977,475251977,2907708,8463335424,7247757312,4006670336,0
199,1708991494402,2592,2592,2592,2592,2592,2592,2592,2592,8.253997802734375,74.55262756347656,16.038185119628906,7.2609405517578125,26.967567443847656,5.1869354248046875,8.051856994628906,7.116180419921875,65095671,555349635,475305807,2907825,8463335424,7247757312,4024135680,0
199,1708991494602,2592,2592,2592,2592,2592,2592,2592,2592,34.36260986328125,66.833984375,5.802986145019531,1.1220245361328125,2.588714599609375,0.9161529541015625,3.1603927612304688,3.6729507446289063,65098225,555406201,475357729,2907937,8463335424,7247757312,4095209472,0
200,1708991494802,2592,2592,2592,2592,2592,2592,2592,2592,5.736228942871094,4.557159423828125,11.139320373535156,0.6113662719726563,90.1920166015625,0.2076873779296875,3.3736724853515625,0.7324905395507813,65100590,555459056,475405945,2908066,8463335424,7247757312,4136878080,0
200,1708991495003,2592,2592,2592,2592,2592,2592,2592,2592,5.7060546875,1.3412857055664063,4.189338684082031,0.863037109375,100,0.5152816772460938,4.4014434814453125,0.01926422119140625,65102769,555513149,475455300,2908226,8463335424,7247757312,4172484608,0
200,1708991495204,2592,2592,2592,2592,2592,2592,2592,2592,8.738014221191406,2.8270492553710938,5.7419891357421875,0.988189697265625,100,1.0135269165039063,4.1156158447265625,1.3794021606445313,65105007,555567763,475505307,2908370,8463335424,7247757312,4220899328,0
199,1708991495405,2592,2592,2592,2592,2592,2592,2592,2592,12.148933410644531,52.495914459228516,11.701904296875,2.4386520385742188,52.483028411865234,1.3407440185546875,7.4221038818359375,9.390327453613281,65107888,555621708,475554357,2908673,8463335424,7247757312,4289896448,0
200,1708991495605,2592,2592,2592,2592,2592,2592,2592,2592,6.47137451171875,93.36074829101563,17.28082275390625,19.301040649414063,17.365264892578125,8.922325134277344,19.124290466308594,10.884918212890625,65111014,555683531,475611104,2908828,8463335424,7247757312,4368711680,0
200,1708991495806,2592,2592,2592,2592,2592,2592,2592,2592,26.33167266845703,75.17294311523438,5.049324035644531,0.7793197631835938,3.1092605590820313,0.89691162109375,2.1502227783203125,3.8819656372070313,65113915,555738856,475661767,2909002,8463335424,7247757312,4381614080,0
203,1708991496007,2592,2592,2592,2592,2592,2592,2592,2592,35.736541748046875,0.6439132690429688,4.118125915527344,41.895809173583984,3.8214950561523438,0.549774169921875,27.37578582763672,2.1923828125,65116887,555793832,475711841,2909125,8463335424,7247757312,4422991872,0
200,1708991496210,2592,2592,2592,2592,2592,2592,2592,2592,37.03992462158203,50.524375915527344,41.03739929199219,46.166751861572266,41.80873107910156,23.07152557373047,61.22138977050781,29.103408813476563,65122452,555898397,475809876,2909266,8463335424,7247757312,4477321216,0
200,1708991496411,2592,2592,2592,2592,2592,2592,2592,2592,58.630794525146484,82.64075469970703,60.54754638671875,57.40965270996094,84.57640075683594,42.82528305053711,59.345951080322266,65.12242126464844,65126628,555974284,475881581,2909550,8463335424,7247757312,4505792512,0
202,1708991496611,2592,2592,2592,2592,2592,2592,2592,2592,38.710243225097656,44.01370620727539,26.8402099609375,31.674591064453125,49.06698226928711,25.216819763183594,32.77484893798828,27.31603240966797,65130336,556046454,475948427,2909673,8463335424,7247757312,4529541120,0
200,1708991496814,2592,2592,2592,2592,2592,2592,2592,2592,15.9036865234375,59.01099395751953,32.149436950683594,15.141693115234375,38.741756439208984,12.656364440917969,16.3082275390625,14.4552001953125,65133537,556108506,476005474,2909802,8463335424,7247757312,4552970240,0
